part_type,height_mean,height_max,height_min,length_mean,length_max,length_min,width_mean,width_max,width_min
Spark Plugs,2.1377777777777784,2.36341547089558,1.912140084659977,3.458888888888888,3.851193278140369,3.0665844996374068,1.3962962962962964,1.6044963302887552,1.1880962623038376
Spark Plug Indexing Washers,3.9,,,6.7,,,6.7,,
Spark Plug Indexing Tools,2.925,6.502556638619452,-0.6525566386194521,6.65,7.719154857518458,5.580845142481543,5.65,8.36400848446993,2.935991515530071
Spark Plug Wire Sets,3.690281249999983,3.7799402378555507,3.6006222621444155,9.203367187500017,9.49083410388197,8.915900271118065,7.595382812500032,7.672107892073373,7.518657732926692
Distributor Points,1.4164285714285714,1.8847831064719522,0.9480740363851905,3.7135714285714285,4.374685597368439,3.0524572597744184,1.2671428571428576,1.6699389441419359,0.8643467701437793
Distributor Cap & Rotor Kits,6.800425531914892,7.263845294135355,6.3370057696944295,5.282659574468084,5.608040863506768,4.957278285429401,6.13691489361702,6.47194449718233,5.801885290051711
Ignition Coils,5.888450413223136,6.1507173705341955,5.626183455912077,9.322024793388428,9.748410179625484,8.895639407151371,7.744979338842973,8.1523376953854,7.337620982300546
Distributor Condensers,1.1057142857142856,1.8298579282735297,0.3815706431550415,5.167142857142857,6.762964611314345,3.5713211029713694,2.11,3.9652572594548516,0.25474274054514834
Ignition Coil Covers,3.5455244755244752,3.8667744376291298,3.2242745134198207,11.361888111888112,12.217237808773676,10.506538415002547,8.704265734265732,9.129379117718022,8.279152350813442
Distributor Caps,5.168796296296296,5.488190265236627,4.849402327355966,5.405555555555554,5.655628757440594,5.155482353670514,4.913518518518519,5.331632587432496,4.495404449604541
Exhaust Wrap,2.0605,2.431826964585121,1.6891730354148793,7.906500000000001,9.545416797505327,6.267583202494675,6.116999999999999,6.882576721654119,5.351423278345879
Distributor Rotors,3.3096842105263167,3.6999207481749945,2.919447672877639,4.04621052631579,4.425600404727126,3.666820647904455,3.298,3.702641195204895,2.893358804795105
Ignition Coil Wiring Harnesses,5.188157894736842,6.211758222505589,4.164557566968096,8.117105263157894,8.777114712496866,7.457095813818922,5.484210526315789,6.364653382125118,4.6037676705064605
Performance Chips & Programmers,5.284975299929427,5.384984077532943,5.184966522325912,9.024438955539877,9.206943485279442,8.84193442580031,6.86104093154552,6.980779930194794,6.741301932896246
Fuel Injectors,3.3002645502645502,3.5901796435000364,3.010349457029064,8.524550264550266,9.06979635783198,7.979304171268552,6.092539682539681,6.603946439317248,5.581132925762114
Voltage Regulator Brackets & Covers,2.15,,,4.83,,,2.95,,
Generator Armatures,2.24,,,10.01,,,2.42,,
Starter Drives,2.47,3.5720519300574867,1.3679480699425137,4.055,4.4744376748726244,3.6355623251273745,3.185,4.8051808225472,1.5648191774528004
Battery Isolators,4.118333333333333,5.469120518955269,2.767546147711397,6.081666666666667,8.666932938220176,3.4964003951131577,5.076666666666667,7.817612329193759,2.3357210041395753
Battery Cables,3.8383333333333334,5.174981953032409,2.5016847136342575,9.6125,11.911898838833913,7.313101161166088,6.170833333333334,7.861294325101306,4.480372341565363
Alternators & Generators,7.396810344827587,7.567518168536943,7.226102521118231,8.474310344827586,8.627207590102795,8.321413099552377,8.837672413793104,9.191952348586357,8.483392478999852
Stators,2.2671428571428573,2.795425490941512,1.7388602233442028,6.194285714285715,6.7004998648775524,5.688071563693877,6.0,6.088039400425504,5.911960599574496
Charging System Kits,6.15,6.363830971503692,5.936169028496309,10.105,10.261261094560389,9.948738905439612,7.51,7.6744853626951475,7.345514637304852
